,phrase,intents
0,rate the art of struggle 3,RateBook
1,give this current essay five out of 6 stars,RateBook
2,add transmission to my found them first,AddToPlaylist
3,what will the weather be like 20 minutes from now in homestead meadows in martinique,GetWeather
4,i rate the variation of animals and plants under domestication a value of 0,RateBook
5,will it storm in kinder russia,GetWeather
6,will there be a snowstorm this weekend in bear river arizona,GetWeather
7,book a restaurant in fl in the city of lochearn for my step son and i,BookRestaurant
8,put this tune by ross the boss onto nação reggae,AddToPlaylist
9,book a table for me and my crew scheduled for 10:47:15 pm in il,BookRestaurant
10,will it get chillier in sinclair in 8 hours,GetWeather
11,play salmonella dub dvd by mario rubalcaba on vimeo,PlayMusic
12,play fereydoun farrokhzad best track,PlayMusic
13,play a top five jonny buckland symphony from around 1989,PlayMusic
14,what s the weather forecast for tn on december seventh 2026,GetWeather
15,where can i see joy of learning,SearchScreeningEvent
16,show creative picture of the secret doctrine,SearchCreativeWork
17,put this kes song on the feel good indie rock playlist,AddToPlaylist
18,rate the current essay 2 out of 6,RateBook
19,i want to eat at a escondida south carolina restaurant for 8 people,BookRestaurant
20,rate this current saga one points,RateBook
21,play a seventies tom thacker ballad,PlayMusic
22,rate this chronicle a 0,RateBook
23,give this novel 3 of 6,RateBook
24,i d like to see forgetting the girl,SearchScreeningEvent
25,rate the my beloved world saga a one,RateBook
26,play 2gether by jade puget,PlayMusic
27,i need a table for 3 in ak,BookRestaurant
28,add run rudolph run to my rockin playlist,AddToPlaylist
29,add every song is a cry for love to my playlist soul n the city,AddToPlaylist
30,this is a 1 star textbook,RateBook
31,rate the current album a five out of 6,RateBook
32,give one out of 6 stars to free market fairness,RateBook
33,add the album to rosanna s ejercicio playlist,AddToPlaylist
34,book midday at a faraway cuban place for five at a top-rated bakery in grainola,BookRestaurant
35,what is the forecast for papua new guinea for lunch for rainfall,GetWeather
36,give the current book zero of 6,RateBook
37,i want reservations at a restaurant in robert lee for 21:05:17,BookRestaurant
38,show the movie schedules,SearchScreeningEvent
39,book a pub with fisn n chips in timberville,BookRestaurant
40,the rats of hamelin deserves zero points,RateBook
41,rate this essay 4 of 6 stars,RateBook
42,find the so this is goodbye saga,SearchCreativeWork
43,find the movie schedule for great escape theatres,SearchScreeningEvent
44,incorporate ayumi hamasaki arena tour 2009 a next level into my música libre playlist,AddToPlaylist
45,can you add something by wynter gordon to my soul lounge playlist,AddToPlaylist
46,where will the blonde from peking be playing,SearchScreeningEvent
47,book reservations at a nearby restaurant in montenegro for four people,BookRestaurant
48,what is the weather at my current location,GetWeather
49,i wish to listen to good symphony music by mi lu bing,PlayMusic
50,book a table for two at a restaurant faraway from office in california,BookRestaurant
51,what does it feel like in east cove national wildlife refuge,GetWeather
52,will it rain on jan 18th 2029 in kanopolis arkansas,GetWeather
53,what is the forecast this month in kosovo,GetWeather
54,book a table for me and belinda serving minestra in a bar,BookRestaurant
55,will there be a snowfall here in the neighboring areas,GetWeather
56,book me a restaurant ten minutes from now,BookRestaurant
57,add jan smit in endorphin rush,AddToPlaylist
58,what is the weather not far from current position,GetWeather
59,book four people at a madagascar bar,BookRestaurant
60,will there be cloud action in saint bernard virgin islands,GetWeather
61,what films start at eighteen at caribbean cinemas,SearchScreeningEvent
62,can the artist big mama thornton be put onto my trabajo relax playlist,AddToPlaylist
63,find the movie chaos is me,SearchCreativeWork
64,what time is 26 years diary showing in the movie house,SearchScreeningEvent
65,i want to hear symphony songs from rebecca cartwright on last fm,PlayMusic
66,i would like to rate the hundred-year christmas four stars,RateBook
67,what s the weather like in ojo amarillo,GetWeather
68,put slimm cutta calhoun on my songs to sing in the car playlist,AddToPlaylist
69,is it warm in the current spot,GetWeather
70,what kind of weather will be in windy hills bermuda in ten weeks,GetWeather
71,i d like to see jack,SearchCreativeWork
72,what s the weather in hi,GetWeather
73,put this track on my infinite indie folk playlist,AddToPlaylist
74,show cold weather forecast in five hours and 1 minute in hokendauqua mongolia,GetWeather
75,find the photograph jboss enterprise soa platform,SearchCreativeWork
76,what cinema is the closest showing movies,SearchScreeningEvent
77,can you get seating for my father and i at a restaurant in birch run,BookRestaurant
78,give after having spent a night among horses 0 out of 6,RateBook
79,is it snowy in demotte ms,GetWeather
80,what is a romance of the halifax disaster,SearchCreativeWork
81,i want to book a restaurant far from the municipal borough of mitcham for 10 people,BookRestaurant
82,book a restaurant for ten in germfask,BookRestaurant
83,show of from south africa to south carolina,SearchCreativeWork
84,please add moon river to my metalcore playlist,AddToPlaylist
85,find the prince of temple street a picture,SearchCreativeWork
86,is it going to be hot in chrisman,GetWeather
87,four out of 6 stars for the previous essay,RateBook
88,add sifow to my skatepark punks playlist,AddToPlaylist
89,play some amber kuo from the eighties on spotify,PlayMusic
90,wish to fins a television show called whole again,SearchCreativeWork
91,play the greatest music you can find by ari herstand on zvooq,PlayMusic
92,rate my current book 1 out of 6 points,RateBook
93,add another artist to my soul bpm playlist,AddToPlaylist
94,tell me the weather forecast for huxley ms,GetWeather
95,play twenties chant from lagaylia frazier on itunes,PlayMusic
96,rebekah taylor and marcie need reservations at the clink in senegal,BookRestaurant
97,i need a reservation for red square on aug the 9th,BookRestaurant
98,where and when can i see the image makers,SearchScreeningEvent
99,add the tune to the indie workout playlist,AddToPlaylist
100,what is the temperature at eifel national park,GetWeather
101,show creative video game in my own backyard,SearchCreativeWork
102,play some latin music,PlayMusic
103,i d like to watch the trailer for as tears go by,SearchCreativeWork
104,play shinya yamada music from 1962 on groove shark,PlayMusic
105,what time is high schools playing,SearchScreeningEvent
106,add milas poli to my indie bluegrass,AddToPlaylist
107,find make your play,SearchCreativeWork
108,put this album on my road trip playlist,AddToPlaylist
109,where can i watch animated movies around here,SearchScreeningEvent
110,show creativity of pocket full of kryptonite,SearchCreativeWork
111,find the show the best of: the township idols,SearchCreativeWork
112,the current book deserves a rating of only one,RateBook
113,could i download chavez: inside the coup,SearchCreativeWork
114,play randy castillo s music from 1952,PlayMusic
115,please play got the time,PlayMusic
116,put this track on alok house party playlist,AddToPlaylist
117,i want to book a reservation within the same area of amelia court house for 4,BookRestaurant
118,what animated movies are playing at the closest cinema,SearchScreeningEvent
119,find the closest movie theatre for films,SearchScreeningEvent
120,play a melody from leigh nash using lastfm,PlayMusic
121,what will the weather be within the same area of weir farm national historic site,GetWeather
122,what time is murph the surf playing,SearchScreeningEvent
123,please tell me the current and local movie times,SearchScreeningEvent
124,book a table for 1 at ringside steakhouse in hurricane,BookRestaurant
125,book a restaurant in belgium for ten in 24 weeks,BookRestaurant
126,open the playlist from sergei chatschatrjan,PlayMusic
127,where to get saga of a brush with the law,SearchCreativeWork
128,play ngola ritmos top-ten songs,PlayMusic
129,what is the nearest cinema playing romance of the limberlost,SearchScreeningEvent
130,will it get hotter in hext,GetWeather
131,rate the pagan christ zero points out of 6,RateBook
132,book a diner place or me and my best friend on holy saturday capital of united arab emirates where they serve pepperoni dishes,BookRestaurant
133,for the book tale of the toa i give five points,RateBook
134,play ambient music,PlayMusic
135,is it going to be warm here,GetWeather
136,what time is mighty morphin power rangers: the movie at magic johnson theatres,SearchScreeningEvent
137,can you make an addition to the old enough to enjoy this playlist with martin barre,AddToPlaylist
138,give one out of 6 stars to the shiva option,RateBook
139,look for the saga called death in paradise,SearchCreativeWork
140,i d like to eat at the best southeastern brazilian restaurant with five people,BookRestaurant
141,can you pull up a track on zvooq by graham mcpherson,PlayMusic
142,will it be chillier seven weeks from now in senegal,GetWeather
143,find the television show titled spatial query server,SearchCreativeWork
144,will it get cold in nationalpark mu ko phetra,GetWeather
145,repeat the track of music,PlayMusic
146,i d give the jewel in the crown saga four of 6 stars,RateBook
147,will it be colder in vermont,GetWeather
148,play some seventies music by janne puurtinen on youtube,PlayMusic
149,what s the weather in the u s virgin islands,GetWeather
150,book a restaurant in myanmar for 4,BookRestaurant
151,rate this essay two stars,RateBook
152,what s the weather going to be like at my current spot at 7 am,GetWeather
153,book the great house at sonning distant from gun hill rd,BookRestaurant
154,what s the weather forecast in the same area as la in 1 minute,GetWeather
155,book a table for chasity and i in vanuatu,BookRestaurant
156,i want to hear popular music from martin lopez,PlayMusic
157,find the game selling blue elephants,SearchCreativeWork
158,book something at a highly rated and distant cafe in kazakhstan for two on april 21,BookRestaurant
159,play within you without you by distance on zvooq,PlayMusic
160,11 seconds from now find a cinema with first monday in october,SearchScreeningEvent
161,play an asha bhosle song from around 1964,PlayMusic
162,i want to hear jimmy james from the thirties play a song on groove shark,PlayMusic
163,will the weather be the same here in one week in the same area,GetWeather
164,look for the learning & behavior picture,SearchCreativeWork
165,add welcome to the cruel world to my reggae classics,AddToPlaylist
166,what is the forecast for lesotho for starting this fall,GetWeather
167,add the fire and the wind to my digster future hits playlist,AddToPlaylist
168,where can i purchase the book scales of justice,SearchCreativeWork
169,find the movie schedule for arclight hollywood,SearchScreeningEvent
170,please fine me worms clan wars,SearchCreativeWork
171,find the movie schedules for me,SearchScreeningEvent
172,where can i get the album so fresh: the hits of spring 2011,SearchCreativeWork
173,please put book of love on my ntc high intensity training tracks playlist,AddToPlaylist
174,find a reservation for a tavern that serves pizzas for a party of 6,BookRestaurant
175,i need to book a pub for 8 that has wifi,BookRestaurant
176,play me a fifties song,PlayMusic
177,what will the weather be for hooksett,GetWeather
178,for the book icon of evil i rate a 2,RateBook
179,will there be a snowstorm at my current place,GetWeather
180,play tonight only by nastya kamenskih,PlayMusic
