,phrase,intents
0,i would like to fly from boston to baltimore,atis_flight
1,list all flights leaving denver on continental on sunday,atis_flight
2,what flights are there from boston to denver on monday morning,atis_flight
3,what are the coach fares from charlotte to la wednesday night,atis_airfare
4,where does delta fly to that american doesn't,atis_flight
5,tuesday morning flights between charlotte and baltimore,atis_flight
6,list the flights arriving in baltimore from pittsburgh on august third,atis_flight
7,all delta flights to everywhere if you can,atis_flight
8,give me a flight from newark to tampa on friday,atis_flight
9,i'd like to make a trip between atlanta and boston i wish to know the cheapest fare,atis_flight
10,what are the cheapest flights from denver to pittsburgh that stop in atlanta,atis_flight
11,list all flights please from washington to san francisco,atis_flight
12,which flights are between boston and baltimore washington,atis_flight
13,show me first class fares from dallas to baltimore,atis_airfare
14,morning flight from atlanta to philadelphia,atis_flight
15,flight information between washington and denver on september third,atis_flight
16,i need a flight from new york to montreal thursday may six arriving before noon,atis_flight
17,show flights from pittsburgh to oakland,atis_flight
18,show me all flights from baltimore to dallas,atis_flight
19,in dallas fort worth i would like information on ground transportation,atis_ground_service
20,show me all flights from phoenix to milwaukee on american airlines on wednesday,atis_flight
21,list all daily flights between boston and oakland and between oakland and boston using delta airlines,atis_flight
22,what do these cost,atis_airfare
23,i need flight information leaving atlanta and arriving in baltimore for monday,atis_flight
24,now please give me the latest flight tomorrow on twa from milwaukee to tacoma,atis_flight
25,give me the flights from salt lake city to new york city arriving before 6 pm,atis_flight
26,tell me about flights leaving from atlanta and going to charlotte north carolina next monday i need to know about flights that arrive in charlotte between 415 and 530 pm,atis_flight
27,what does ewr mean,atis_abbreviation
28,show me the airlines between boston and denver,atis_airline
29,what are the flights from boston to san francisco,atis_flight
30,show me flights on sunday going from san francisco to boston nonstop first class leaving after 12 noon,atis_flight
31,find me the earliest flight from boston to atlanta and the latest return to boston on the same day,atis_flight
32,i'd like an early flight tomorrow from columbus to nashville,atis_flight
33,show me the flights from dallas to atlanta,atis_flight
34,i would like an early flight from la to charlotte monday morning,atis_flight
35,i need a flight from newark to los angeles leaving tomorrow evening,atis_flight
36,show me the flights from dallas to baltimore at economy level,atis_flight
37,what is the last flight from baltimore to boston,atis_flight
38,show flights leaving miami to cleveland on us air that leave after noon,atis_flight
39,okay that one's great too now we're going to go on april twenty second dallas to washington the latest nighttime departure one way,atis_flight
40,i need a flight from san francisco to boston that leaves after 10 pm,atis_flight
41,how many first class flights does united have leaving from all airports today,atis_quantity
42,show me the flights from boston to pittsburgh on wednesdays and thursdays,atis_flight
43,find travel arrangements for a one way flight from boston to pittsburgh,atis_flight
44,tell me about flights on american airlines from dallas fort worth to philadelphia on june twenty ninth,atis_flight
45,please list all northwest flights into denver,atis_flight
46,i now need a flight from san jose to houston leaving on sunday the fourth,atis_flight
47,what airplane types fly from pittsburgh to baltimore,atis_aircraft
48,i would like to fly from salt lake city back to st. petersburg on wednesday,atis_flight
49,all right give me the flight times in the morning on september twentieth from pittsburgh to san francisco,atis_flight_time
50,what flights go from dallas to tampa,atis_flight
51,flights from atlanta please,atis_flight
52,show me all flights for tomorrow from san francisco to pittsburgh,atis_flight
53,i'd like a flight tomorrow from san diego to toronto,atis_flight
54,show me all nationair flights from toronto,atis_flight
55,show me the flights from denver to las vegas,atis_flight
56,show flights first class on american from philadelphia to dallas fort worth,atis_flight
57,flight information from denver to san francisco,atis_flight
58,is there a direct flight from atlanta to philadelphia that arrives in philadelphia around 12 noon,atis_flight
59,flights from new york to miami,atis_flight
60,i would like the first flight from dallas into houston on march first and the last flight from houston back to dallas on march first,atis_flight
61,show me all flights from boston to denver which arrive in denver wednesday before noon,atis_flight
62,what is the least expensive flight from denver to atlanta,atis_flight
63,find a flight on delta from philadelphia to san francisco,atis_flight
64,what ground transportation is there from the airport in atlanta to downtown,atis_ground_service
65,show me the flights from san diego to newark new jersey,atis_flight
66,show me the itinerary of the connecting flight from boston to denver that departs boston at 10 am,atis_flight
67,all flights from montreal less than 150 dollars,atis_flight
68,find me the earliest flight from boston to atlanta on any day of the week,atis_flight
69,how much is a flight from washington to boston,atis_airfare
70,flights from kansas city to cleveland,atis_flight
71,all flights and fares from denver to pittsburgh on us air number 1039 on a thursday,"atis_flight,atis_airfare"
72,i am interested in booking an early morning flight from dallas into houston and returning in the late evening,atis_flight
73,could you tell me what the earliest flight that goes between atlanta and denver is which serves a meal,atis_flight
74,what flights from miami to indianapolis on sunday,atis_flight
75,show me one way flights from milwaukee to orlando,atis_flight
76,please list all united flights between pittsburgh and baltimore,atis_flight
77,give me the first flight from boston to atlanta,atis_flight
78,show me the flights from boston to pittsburgh on wednesday,atis_flight
79,give me flights on american airlines from milwaukee to phoenix,atis_flight
80,show me all the delta flights leaving or arriving at pittsburgh between 12 and 4 in the afternoon,atis_flight
81,what flights are there on saturdays from philadelphia to denver,atis_flight
82,show me the flights from toronto to cincinnati,atis_flight
83,i would like to find out what flights there are on friday june eleventh from st. petersburg to milwaukee and then from milwaukee to tacoma thank you,atis_flight
84,is there a round trip flight from baltimore to dallas connecting in denver,atis_flight
85,what is the round trip cost of a first class ticket from boston to san francisco,atis_airfare
86,what cities are served by canadian airlines international,atis_city
87,i would like to find out the ground travel available in atlanta,atis_ground_service
88,what is the latest departure from boston to pittsburgh on the seventh of july,atis_flight
89,show me nonstop flights from miami to new york with coach class fares,atis_flight
90,i'd like information on a flight from denver to san francisco on united air,atis_flight
91,what is the last flight from atlanta to boston,atis_flight
92,what are the flights from baltimore to dallas on sunday afternoon,atis_flight
93,what are the flights from boston to washington,atis_flight
94,give me a flight from newark to tampa on friday,atis_flight
95,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco with a dallas stopover,atis_aircraft
96,what is the thrift economy flight fare from washington to san francisco,atis_airfare
97,i'd like to see all the flights with their fares from denver to atlanta,atis_flight
98,show me ground transportation information for pittsburgh,atis_ground_service
99,i need a flight from boston to san francisco leaving in the afternoon and arriving in the evening thank you,atis_flight
100,what is the latest return flight from atlanta to boston,atis_flight
101,can i have a rental car in houston,atis_ground_service
102,show me the flights from san francisco to pittsburgh on tuesday,atis_flight
103,what flights go from philadelphia to san francisco with a stopover in dallas,atis_flight
104,what are the flights from denver to baltimore on august tenth,atis_flight
105,round trip fares from baltimore to philadelphia under 1000 dollars,atis_airfare
106,show me the united flights from bwi to denver,atis_flight
107,information on first class round trip from pittsburgh to san francisco,atis_flight
108,wednesday morning flights between baltimore and newark new jersey,atis_flight
109,please show me airlines with flights from denver to philadelphia,atis_airline
110,show me all flights between san francisco and philadelphia for september fifteenth,atis_flight
111,what is the earliest morning flight from san francisco to boston,atis_flight
112,dallas to oakland saturday,atis_flight
113,from washington to atlanta,atis_flight
114,show the flights from san francisco to pittsburgh,atis_flight
115,flights from baltimore to san francisco,atis_flight
116,what are all monday flights from denver to san francisco on united airlines,atis_flight
117,show me all connecting flights on united airlines between boston and san francisco,atis_flight
118,what flights do you have from baltimore to san francisco,atis_flight
119,show me the first class fares from baltimore to dallas,atis_airfare
120,i would like to book a flight from chicago into seattle on june first on continental airlines,atis_flight
121,show me all flights to philadelphia in the evening,atis_flight
122,i'd like to see all flights from denver to philadelphia,atis_flight
123,show me the flights from westchester county to cincinnati,atis_flight
124,i'm interested in a flight from dallas to washington and i'm also interested in going to baltimore,atis_flight
125,tell me about flights from salt lake city to st. petersburg,atis_flight
126,cheapest round trip airfare from tacoma to orlando,atis_airfare
127,what is mco,atis_abbreviation
128,please list the flights from kansas city to denver,atis_flight
129,how many people fly on a turboprop,atis_capacity
130,what flight from boston to baltimore is the least expensive flight,atis_flight
131,i'd like the earliest flight information from boston to san francisco with a meal,atis_flight
132,can i go from boston to san francisco with a stopover in denver,atis_flight
133,where does canadian airlines international fly to,atis_flight
134,flight will start from boston,atis_flight
135,i'd like a flight tomorrow evening from nashville to houston that includes dinner for tomorrow,atis_flight
136,hi i need to get a flight from memphis to salt lake city departing before 10 am,atis_flight
137,list daily flights from oakland to boston using delta airlines,atis_flight
138,what are the flights from boston to atlanta,atis_flight
139,show me flights from denver to philadelphia,atis_flight
140,what are the flights from charlotte to atlanta returning on tuesday july thirteenth,atis_flight
141,earliest flight on american airlines from washington dc to san francisco,atis_flight
142,what flights are available wednesday afternoon from atlanta to san francisco,atis_flight
143,what sort of ground transportation is there in washington dc,atis_ground_service
144,all flights to baltimore after 6 pm,atis_flight
145,show me the flights from boston to san francisco that stop in dallas,atis_flight
146,i have two friends that would like to visit me on wednesday here in washington dc one of them lives in denver and the other lives in miami,atis_flight
147,thank you very much now can you help me with information on flights from boston to atlanta,atis_flight
148,list the flights from denver to baltimore,atis_flight
149,i'd like to fly late tomorrow from minneapolis to long beach,atis_flight
150,ground transportation from airport in boston to downtown boston,atis_ground_service
151,what is the economy thrift fare from boston to washington,atis_airfare
152,i need a first class ticket on united airlines from denver to baltimore scheduled for december seventeenth,atis_airfare
153,what are the classes of service for continental airlines,atis_flight
154,give me the flights from washington dc to philadelphia for december second,atis_flight
155,give me flights from pittsburgh to baltimore,atis_flight
156,give me american airlines from milwaukee to phoenix on saturday and sunday,atis_flight
157,show me all flights from san francisco to boston on november tenth,atis_flight
158,list all nonstop flights from la to pittsburgh before 5 pm on tuesday,atis_flight
159,list the flights from philadelphia to san francisco via dallas,atis_flight
160,i'd like to fly early tomorrow from columbus to minneapolis,atis_flight
161,give me the latest flight tomorrow on american airlines from milwaukee to tacoma,atis_flight
162,i would like a flight from philadelphia to san francisco but i would like to stop in dallas,atis_flight
163,can you tell me about ground transportation between the dallas airport and downtown dallas,atis_ground_service
164,show me the earliest flight from boston to denver,atis_flight
165,list all flights on continental departing on monday before noon from denver to chicago,atis_flight
166,show flights between toronto and san francisco,atis_flight
167,what is the ground transportation available in denver,atis_ground_service
168,i need a flight on sunday from long beach to columbus,atis_flight
169,what are the flights from denver to oakland,atis_flight
170,what flights from miami to indianapolis,atis_flight
171,what is the last flight to atlanta from baltimore,atis_flight
172,what flights depart baltimore and arrive by 8 pm friday in san francisco,atis_flight
173,which airline has more business class flights than any other airline,atis_airline
174,airports in new york,atis_airport
175,show me morning flights from atlanta to philadelphia,atis_flight
176,us 3724 baltimore to philadelphia what is the round trip fare,atis_airfare
177,show all nonstop flights from boston to atlanta,atis_flight
178,i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out,atis_flight
179,what's the capacity of an f28,atis_capacity
180,i need a flight from new york city to montreal tomorrow,atis_flight
181,i would like a schedule of flights from denver to san francisco on tuesday,atis_flight_time
182,are there any 4 o'clock flights from washington to denver,atis_flight
183,now i'd like a schedule for the flights on tuesday morning from oakland no from dallas fort worth to atlanta,atis_flight_time
184,show me the airlines that fly from san francisco to boston,atis_airline
185,find any flight from boston to oakland stopping in denver,atis_flight
186,what is the most expensive flight from boston to dallas round trip,atis_flight
187,show me flights from san francisco to denver,atis_flight
188,flights from dallas to houston in the morning,atis_flight
189,list all round trip fares from pittsburgh to washington dc,atis_airfare
190,list the flights from dallas to baltimore,atis_flight
191,give me all flights from new york city to las vegas that arrive on a sunday,atis_flight
192,i'm trying to find a flight from columbus to phoenix through cincinnati,atis_flight
193,flights from indianapolis to seattle,atis_flight
194,san francisco to denver tuesday,atis_flight
195,list the flights on wednesday from denver to washington arriving in washington between 1115 am and 1245 pm,atis_flight
196,i would like to find a flight from charlotte north carolina to las vegas i would like a stopover in st. louis,atis_flight
197,what flights are available from denver to philadelphia on wednesday,atis_flight
198,what ground transportation is available from pittsburgh to downtown,atis_ground_service
199,flights from boston to pittsburgh,atis_flight
200,show me all flights between san francisco and philadelphia for september fifteenth,atis_flight
201,all flights from long beach to phoenix,atis_flight
202,show me the airlines with first class flights,atis_airline
203,what are all flights to denver from philadelphia on sunday,atis_flight
204,i would like information on flights leaving atlanta in the afternoon arriving in dallas,atis_flight
205,i'm interested in the cheapest fare from washington to fort worth,atis_airfare
206,can you show me the price of a flight to washington from atlanta on thursday morning,atis_airfare
207,show me the flights from philadelphia to baltimore,atis_flight
208,what flights go from boston to denver before 10 am,atis_flight
209,please show me all the flights from denver to oakland that are nonstop,atis_flight
210,find travel arrangements for a round trip flight from baltimore to pittsburgh after 8 o'clock pm before 10 o'clock pm,atis_flight
211,what is restriction ap 55,atis_abbreviation
212,i want a round trip fare from new york to san jose,atis_airfare
213,flights from newark new jersey to cleveland ohio,atis_flight
214,dl 296 denver to philadelphia what is the fare,atis_airfare
215,are there any early flights from atlanta to washington on thursday mornings,atis_flight
216,what is the coach fare between boston and atlanta on delta,atis_airfare
217,find travel arrangements for a round trip flight from dallas to pittsburgh,atis_flight
218,how many seats in a 72s,atis_capacity
219,show me ground transport in seattle,atis_ground_service
220,show me a list of flights from san francisco to boston for august thirtieth,atis_flight
221,give me the latest flight tomorrow on united airlines from milwaukee to tacoma,atis_flight
222,give me the continental flights from chicago to seattle on friday,atis_flight
223,what flights are available monday from san francisco to pittsburgh,atis_flight
224,can you tell me what flights you have from baltimore to dallas,atis_flight
225,pittsburgh to denver,atis_flight
226,i need to know if there are any direct flights from st. petersburg florida to tacoma washington leaving preferably tomorrow morning,atis_flight
227,what is american's last flight from boston to washington dc on july twenty first,atis_flight
228,show me the flights from baltimore to atlanta,atis_flight
229,what are the flights between pittsburgh and baltimore on august tenth,atis_flight
230,all flights from washington to san francisco leaving after 2,atis_flight
231,flights from denver to westchester county new york weekdays,atis_flight
232,i want the flights from denver to pittsburgh,atis_flight
233,list the earliest flights from st. paul to houston,atis_flight
234,what are all flights from san francisco to philadelphia with stops in pittsburgh,atis_flight
